ID,$\log_2(n)$,σ,$\log_2(q)$,$h$,usvp,bdd,bdd_hybrid,bdd_mitm_hybrid,dual,dual_hybrid,estimation_time,machine_info,tool_commit
1,17,3.2,2341,128,197.9,197.9,172.9,158.9,198.9,198.6,0h 27m 49s,"Linux 5.10.0-41-amd64,x86_64,14 cores",6019056
2,16,3.2,1555,192,144.3,144.3,139.5,133.8,145.3,145.0,0h 17m 14s,"Linux 5.10.0-41-amd64,x86_64,14 cores",6019056
3,16,3.2,117,32,inf,inf,199.5,172.9,inf,inf,0h 5m 17s,"Linux 5.10.0-41-amd64,x86_64,14 cores",6019056
4,15,3.2,777,192,143.3,143.1,138.4,132.6,144.3,143.8,0h 7m 2s,"Linux 5.10.0-41-amd64,x86_64,14 cores",6019056
5,15,3.19,767,192,145.2,145.2,139.9,134.1,146.3,145.8,0h 6m 19s,"Linux 5.10.0-41-amd64,x86_64,14 cores",6019056
6,16,3.19,1553,192,144.6,144.6,139.8,134.0,145.6,145.3,0h 12m 38s,"Linux 5.10.0-41-amd64,x86_64,14 cores",6019056
7,17,3.19,3104,192,145.8,146.1,141.3,135.7,146.5,146.5,0h 29m 44s,"Linux 5.10.0-41-amd64,x86_64,14 cores",6019056
8,16,3.2,300,128,inf,inf,381.2,326.9,inf,inf,0h 16m 13s,"Linux 5.10.0-41-amd64,x86_64,14 cores",6019056
9,16,3.2,121,32,inf,inf,198.2,171.9,inf,inf,0h 5m 58s,"Linux 5.10.0-41-amd64,x86_64,14 cores",6019056
